ID,Session0_Pilot1,Configuration,Period,Subject,Group,Profit,TotalProfit,Participate,conf,treat,orden,profit,totalProfit,totalEuros,totalPay,eurosFS,conF1,conF2,conF3,conF4,conF5,ownCon,groupF1,groupF2,groupF3,groupF4,groupF5,FS1G,FS2G,FS3G,FS4G,FS5G,sumFSG,cumSumFS,profF1,profF2,profF3,profF4,profF5,hasDecided,oldGroupF1,oldGroupF2,oldGroupF3,oldGroupF4,oldGroupF5,remainECU,age,gender,studies,level,q1,q2,q3,q4,q5,rand,ranking,screen,TimeAnteriorTutorialOK,TimeContinuarTutorialOK,TimeEmpezarTutorialOK,secsTime,remainTime,show,LeaveStage,TimeCuntoMeQuedaDecOK,TimeAceptarDecOK,maxValue1,minValue1,total,aRandCon[1],aRandCon[2],aRandCon[3],aRandCon[4],aRandCon[5],aRandCon[6],i,itRandCon,con_i,TimeContinuarEndPartOK,TimeEmpezarIniPart2OK,TimeContinuarQuestionsOK,sumaE_FS,TimeOKPaymentOK,timing
33,0,1,1,33,5,0,0,0,1,1,1,139.485,139.485,0,0,0,50,10,10,10,20,0,479,134,80,120,187,0,6.7,8,18,37.4,70.1,7.01,71.85,19.095,10.8,15.3,22.44,1,0,0,0,0,0,0,18,1,,,-1,-1,-1,-1,-1,0.175055902,49,11,0,-231,-245,-1,44,0,0,46,44,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
34,0,1,1,34,2,0,0,0,1,2,2,138.17,138.17,0,0,0,0,20,10,10,10,50,128,160,119,142,100,0,8,11.9,21.3,20,61.2,6.12,19.2,22.8,16.065,18.105,12,1,0,0,0,0,0,50,18,1,,,-1,-1,-1,-1,-1,0.740170995,14,11,0,-305,-313,-1,27,0,0,27,25,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,0
35,0,1,1,35,2,0,0,0,1,2,2,89.17,89.17,0,0,0,10,78,4,7,0,1,128,160,119,142,100,0,8,11.9,21.3,20,61.2,6.12,19.2,22.8,16.065,18.105,12,0,0,0,0,0,0,100,55,1,,,-1,-1,-1,-1,-1,0.776825321,12,11,-640,-650,-681,-1,0,0,0,0,0,0,0,6,2,1,4,6,3,5,7,4,0,-,-,-,-,-,1
36,0,1,1,36,4,0,0,0,1,2,2,158.2775,158.2775,0,0,0,0,5,10,15,20,50,200,116,95,219,175,0,5.8,9.5,32.85,35,83.15,8.315,30,16.53,12.825,27.9225,21,1,0,0,0,0,0,100,25,0,,,-1,-1,-1,-1,-1,0.362049497,35,11,-424,-437,-646,-1,38,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,2
37,0,1,1,37,1,0,0,0,1,1,1,134.0925,134.0925,0,0,0,100,0,0,0,0,0,165,169,239,234,193,0,8.45,23.9,35.1,38.6,106.05,10.605,24.75,24.0825,32.265,29.835,23.16,1,0,0,0,0,0,100,22,1,,,-1,-1,-1,-1,-1,0.898443023,6,11,0,-288,-290,-1,32,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
38,0,1,1,38,4,0,0,0,1,2,2,123.2775,123.2775,0,0,0,10,20,15,20,20,15,200,116,95,219,175,0,5.8,9.5,32.85,35,83.15,8.315,30,16.53,12.825,27.9225,21,1,0,0,0,0,0,55,22,1,,,-1,-1,-1,-1,-1,0.30495401,38,11,0,-494,-497,-1,19,0,0,25,18,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
39,0,1,1,39,3,0,0,0,1,1,1,134.6925,134.6925,0,0,0,20,20,10,40,10,0,233,147,202,182,236,0,7.35,20.2,27.3,47.2,102.05,10.205,34.95,20.9475,27.27,23.205,28.32,1,0,0,0,0,0,0,29,1,,,-1,-1,-1,-1,-1,0.525332797,27,11,0,-331,-333,-1,11,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
40,0,1,1,40,2,0,0,0,1,2,2,88.17,88.17,0,0,0,70,10,10,5,5,0,128,160,119,142,100,0,8,11.9,21.3,20,61.2,6.12,19.2,22.8,16.065,18.105,12,1,0,0,0,0,0,100,26,1,,,-1,-1,-1,-1,-1,0.812158899,11,11,0,-429,-432,-1,31,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
41,0,1,1,41,2,0,0,0,1,2,2,158.17,158.17,0,0,0,0,0,0,30,0,70,128,160,119,142,100,0,8,11.9,21.3,20,61.2,6.12,19.2,22.8,16.065,18.105,12,1,0,0,0,0,0,100,21,0,,,-1,-1,-1,-1,-1,0.723654358,16,11,0,-330,-332,-1,26,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
42,0,1,1,42,5,0,0,0,1,1,1,139.485,139.485,0,0,0,20,28,5,39,8,0,479,134,80,120,187,0,6.7,8,18,37.4,70.1,7.01,71.85,19.095,10.8,15.3,22.44,0,0,0,0,0,0,100,24,1,,,-1,-1,-1,-1,-1,0.174181702,50,11,0,-346,-347,-1,0,0,0,0,0,28,0,5,4,3,1,5,2,0,6,4,28,-,-,-,-,-,1
43,0,1,1,43,1,0,0,0,1,1,1,134.0925,134.0925,0,0,0,30,20,20,20,10,0,165,169,239,234,193,0,8.45,23.9,35.1,38.6,106.05,10.605,24.75,24.0825,32.265,29.835,23.16,1,0,0,0,0,0,100,21,0,,,-1,-1,-1,-1,-1,0.954612613,4,11,0,-364,-366,-1,24,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,0
44,0,1,1,44,5,0,0,0,1,1,1,139.485,139.485,0,0,0,0,20,30,25,25,0,479,134,80,120,187,0,6.7,8,18,37.4,70.1,7.01,71.85,19.095,10.8,15.3,22.44,1,0,0,0,0,0,0,19,1,,,-1,-1,-1,-1,-1,0.264737555,42,11,0,-273,-276,-1,28,0,0,30,26,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
45,0,1,1,45,4,0,0,0,1,2,2,108.2775,108.2775,0,0,0,50,25,10,10,5,0,200,116,95,219,175,0,5.8,9.5,32.85,35,83.15,8.315,30,16.53,12.825,27.9225,21,1,0,0,0,0,0,0,19,0,,,-1,-1,-1,-1,-1,0.45469472,31,11,0,-367,-368,-1,4,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
46,0,1,1,46,6,0,0,0,1,2,2,103.4075,103.4075,0,0,0,10,15,20,20,15,20,203,52,93,79,191,0,2.6,9.3,11.85,38.2,61.95,6.195,30.45,7.41,12.555,10.0725,22.92,1,0,0,0,0,0,20,34,0,,,-1,-1,-1,-1,-1,0.014828454,60,11,-266,-289,-293,-1,17,0,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,0
47,0,1,1,47,5,0,0,0,1,1,1,139.485,139.485,0,0,0,70,0,0,0,30,0,479,134,80,120,187,0,6.7,8,18,37.4,70.1,7.01,71.85,19.095,10.8,15.3,22.44,1,0,0,0,0,0,0,18,0,,,-1,-1,-1,-1,-1,0.241691678,44,11,0,-227,-229,-1,20,0,0,26,18,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
48,0,1,1,48,1,0,0,0,1,1,1,134.0925,134.0925,0,0,0,20,20,20,20,20,0,165,169,239,234,193,0,8.45,23.9,35.1,38.6,106.05,10.605,24.75,24.0825,32.265,29.835,23.16,1,0,0,0,0,0,100,35,0,,,-1,-1,-1,-1,-1,0.98211386,2,11,0,-360,-363,-1,13,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
49,0,1,1,49,1,0,0,0,1,1,1,134.0925,134.0925,0,0,0,0,0,100,0,0,0,165,169,239,234,193,0,8.45,23.9,35.1,38.6,106.05,10.605,24.75,24.0825,32.265,29.835,23.16,1,0,0,0,0,0,100,24,0,,,-1,-1,-1,-1,-1,0.848546894,10,11,0,-408,-410,-1,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
50,0,1,1,50,1,0,0,0,1,1,1,134.0925,134.0925,0,0,0,0,20,30,25,25,0,165,169,239,234,193,0,8.45,23.9,35.1,38.6,106.05,10.605,24.75,24.0825,32.265,29.835,23.16,1,0,0,0,0,0,100,21,1,,,-1,-1,-1,-1,-1,0.864031747,9,11,0,-387,-389,-1,27,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
51,0,1,1,51,3,0,0,0,1,1,1,134.6925,134.6925,0,0,0,5,10,15,20,50,0,233,147,202,182,236,0,7.35,20.2,27.3,47.2,102.05,10.205,34.95,20.9475,27.27,23.205,28.32,1,0,0,0,0,0,0,22,1,,,-1,-1,-1,-1,-1,0.597478454,21,11,0,-292,-294,-1,18,0,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,2
52,0,1,1,52,5,0,0,0,1,1,1,139.485,139.485,0,0,0,50,20,10,10,10,0,479,134,80,120,187,0,6.7,8,18,37.4,70.1,7.01,71.85,19.095,10.8,15.3,22.44,1,0,0,0,0,0,10,19,0,,,-1,-1,-1,-1,-1,0.18864158,48,11,-101,-328,-331,-1,31,0,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
53,0,1,1,53,5,0,0,0,1,1,1,139.485,139.485,0,0,0,69,1,0,1,29,0,479,134,80,120,187,0,6.7,8,18,37.4,70.1,7.01,71.85,19.095,10.8,15.3,22.44,0,0,0,0,0,0,100,37,0,,,-1,-1,-1,-1,-1,0.221830485,46,11,0,-77,-80,-1,0,0,0,0,0,0,0,5,5,1,2,4,3,0,6,1,0,-,-,-,-,-,0
54,0,1,1,54,4,0,0,0,1,2,2,153.2775,153.2775,0,0,0,10,10,10,10,15,45,200,116,95,219,175,0,5.8,9.5,32.85,35,83.15,8.315,30,16.53,12.825,27.9225,21,1,0,0,0,0,0,45,19,1,,,-1,-1,-1,-1,-1,0.298651113,39,11,0,-260,-262,-1,12,0,0,23,9,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
55,0,1,1,55,1,0,0,0,1,1,1,134.0925,134.0925,0,0,0,0,10,40,40,10,0,165,169,239,234,193,0,8.45,23.9,35.1,38.6,106.05,10.605,24.75,24.0825,32.265,29.835,23.16,1,0,0,0,0,0,100,19,1,,,-1,-1,-1,-1,-1,0.884327149,8,11,0,-210,-215,-1,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,0
56,0,1,1,56,2,0,0,0,1,2,2,88.17,88.17,0,0,0,5,15,35,5,40,0,128,160,119,142,100,0,8,11.9,21.3,20,61.2,6.12,19.2,22.8,16.065,18.105,12,1,0,0,0,0,0,100,20,1,,,-1,-1,-1,-1,-1,0.728796592,15,11,-1,-166,-168,-1,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
57,0,1,1,57,3,0,0,0,1,1,1,134.6925,134.6925,0,0,0,100,0,0,0,0,0,233,147,202,182,236,0,7.35,20.2,27.3,47.2,102.05,10.205,34.95,20.9475,27.27,23.205,28.32,1,0,0,0,0,0,0,19,0,,,-1,-1,-1,-1,-1,0.579188953,23,11,-200,-344,-347,-1,37,0,0,40,37,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
